,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
532,female,group B,some high school,standard,completed,59,68,69
533,female,group B,bachelor's degree,standard,completed,73,83,81
534,female,group E,some college,free/reduced,none,64,64,62
535,female,group C,some college,free/reduced,completed,54,64,67
536,male,group C,associate's degree,standard,completed,87,74,75
537,male,group C,some college,standard,none,49,42,35
538,female,group D,some college,standard,none,78,86,87
539,male,group B,some high school,standard,none,58,56,54
540,female,group E,some college,standard,completed,88,97,91
541,male,group D,some high school,standard,completed,81,67,75
542,female,group D,some college,standard,none,78,85,88
543,male,group D,associate's degree,free/reduced,none,84,80,78
544,male,group B,bachelor's degree,standard,none,63,68,59
545,male,group B,associate's degree,free/reduced,completed,60,60,57
546,female,group E,some college,standard,none,80,90,85
547,female,group A,associate's degree,standard,completed,58,69,64
548,female,group B,some high school,standard,none,56,57,64
549,female,group C,associate's degree,free/reduced,completed,56,67,71
550,female,group B,high school,free/reduced,none,18,35,36
551,female,group A,bachelor's degree,free/reduced,completed,30,44,45
552,male,group C,some high school,standard,none,52,45,42
553,female,group C,some college,standard,none,68,76,82
554,male,group C,some college,free/reduced,none,53,58,53
555,male,group D,associate's degree,free/reduced,completed,88,89,86
556,male,group C,some college,standard,none,73,80,70
557,male,group B,some high school,standard,none,71,62,58
558,male,group C,some college,free/reduced,completed,73,76,71
559,male,group E,bachelor's degree,standard,none,95,78,79
560,male,group C,high school,standard,none,85,86,75
561,male,group A,some college,free/reduced,none,64,60,58
562,male,group E,high school,free/reduced,completed,90,85,84
563,female,group B,some college,standard,completed,76,75,82
564,male,group D,some college,free/reduced,completed,76,66,68
565,female,group D,bachelor's degree,free/reduced,none,51,52,50
566,male,group A,some college,standard,none,76,64,67
567,male,group E,some high school,standard,completed,79,74,73
568,female,group B,some high school,free/reduced,none,53,55,54
569,female,group B,some high school,free/reduced,none,40,47,40
570,female,group B,master's degree,standard,none,57,66,69
571,male,group C,master's degree,free/reduced,none,88,78,74
572,female,group E,associate's degree,free/reduced,none,73,88,84
573,male,group E,some college,standard,none,67,67,61
574,male,group C,some high school,standard,none,46,41,36
575,female,group E,bachelor's degree,standard,none,57,60,65
576,male,group E,high school,standard,none,80,61,58
577,male,group D,master's degree,standard,none,79,80,73
578,female,group D,some college,standard,completed,69,76,81
579,male,group D,some college,free/reduced,none,41,50,45
580,male,group D,some college,standard,completed,72,66,72
581,female,group C,associate's degree,standard,none,29,42,38
582,female,group B,associate's degree,standard,completed,88,100,100
583,male,group C,master's degree,free/reduced,completed,80,75,78
584,male,group A,high school,standard,none,56,61,58
585,female,group D,some college,free/reduced,completed,57,76,76
586,male,group C,associate's degree,standard,completed,96,85,90
587,male,group C,associate's degree,standard,completed,74,74,73
588,male,group D,some college,standard,completed,93,97,100
589,male,group D,associate's degree,free/reduced,completed,73,68,68
590,male,group D,associate's degree,standard,none,66,66,67
591,female,group C,bachelor's degree,standard,completed,63,89,88
592,male,group D,high school,standard,none,55,61,60
593,male,group C,associate's degree,standard,none,64,66,58
594,male,group B,some college,standard,none,55,55,49
595,male,group B,some college,free/reduced,none,50,47,42
596,male,group B,high school,standard,completed,70,70,67
597,female,group D,associate's degree,standard,completed,74,75,85
598,male,group C,high school,standard,none,82,78,78
599,male,group D,some high school,free/reduced,completed,72,60,63
600,male,group D,some college,standard,completed,66,64,69
601,female,group D,associate's degree,standard,none,69,63,62
602,male,group D,associate's degree,standard,completed,82,71,84
603,male,group D,high school,standard,none,60,60,62
604,female,group B,high school,standard,none,58,80,76
605,male,group C,high school,standard,none,58,52,51
606,male,group E,high school,standard,completed,96,89,86
607,male,group C,some college,free/reduced,none,61,76,69
608,male,group B,some college,free/reduced,none,41,28,25
609,female,group E,some college,free/reduced,completed,60,61,63
610,female,group D,some high school,standard,completed,85,95,99
611,male,group E,bachelor's degree,standard,none,75,63,58
612,male,group A,bachelor's degree,free/reduced,none,71,61,66
613,male,group B,some high school,standard,none,71,68,59
614,male,group E,high school,standard,completed,96,79,79
615,female,group B,some high school,free/reduced,completed,54,74,67
616,male,group D,some high school,free/reduced,none,39,35,29
617,female,group D,some high school,standard,completed,70,78,82
618,male,group C,associate's degree,standard,completed,85,80,76
619,female,group C,some high school,free/reduced,none,42,47,45
620,female,group D,associate's degree,standard,none,43,52,51
621,female,group D,some college,free/reduced,none,38,58,48
622,male,group D,some high school,standard,completed,82,81,79
623,male,group D,some college,standard,none,90,87,83
624,male,group D,high school,standard,completed,91,89,85
625,male,group D,associate's degree,standard,completed,76,69,71
626,female,group A,bachelor's degree,free/reduced,none,60,62,58
627,male,group E,some high school,standard,none,79,69,69
628,female,group E,some college,free/reduced,completed,56,64,64
629,male,group D,associate's degree,standard,none,55,53,56
630,female,group B,associate's degree,standard,completed,60,69,73
631,female,group D,some college,standard,none,61,71,68
632,female,group B,associate's degree,standard,completed,83,100,100
633,male,group E,bachelor's degree,standard,none,77,72,61
634,male,group C,high school,standard,completed,79,69,70
635,male,group C,high school,standard,completed,100,87,84
636,female,group C,bachelor's degree,standard,none,60,68,70
637,male,group D,some college,standard,none,88,74,68
638,female,group B,associate's degree,free/reduced,none,71,88,88
639,male,group A,associate's degree,standard,none,77,77,73
640,female,group D,some college,standard,none,62,59,67
641,male,group E,associate's degree,standard,completed,69,62,66
642,female,group A,some college,standard,completed,77,81,83
643,male,group D,some high school,standard,completed,64,58,57
644,male,group D,high school,standard,none,81,72,68
645,female,group A,bachelor's degree,standard,none,91,97,100
646,male,group D,bachelor's degree,standard,none,72,74,71
647,male,group C,high school,free/reduced,none,38,39,31
648,male,group D,some college,free/reduced,none,77,75,73
649,male,group D,some college,standard,completed,64,65,64
650,female,group D,some college,standard,none,78,71,80
651,female,group E,bachelor's degree,standard,none,86,81,86
652,male,group B,some high school,standard,completed,63,59,58
653,female,group D,high school,standard,none,46,66,63
654,female,group D,associate's degree,standard,completed,79,89,92
655,male,group E,high school,free/reduced,none,83,71,67
656,male,group E,some college,standard,none,72,74,72
657,male,group D,associate's degree,standard,none,63,66,69
658,male,group B,bachelor's degree,standard,completed,94,91,96
659,male,group C,high school,standard,none,46,48,40
660,female,group C,high school,standard,completed,68,77,78
661,male,group E,high school,standard,none,90,86,80
662,female,group D,high school,standard,none,60,77,69
663,male,group E,bachelor's degree,standard,completed,91,92,89
664,female,group C,associate's degree,free/reduced,completed,49,63,60
665,female,group A,some high school,free/reduced,none,51,59,59
666,female,group D,some high school,standard,completed,78,92,98
667,female,group B,some college,free/reduced,none,54,63,67
668,female,group A,associate's degree,free/reduced,none,49,61,57
669,male,group C,some high school,standard,completed,73,76,76
670,female,group C,some high school,standard,none,64,72,75
671,female,group E,some college,free/reduced,none,75,78,74
672,female,group C,associate's degree,standard,completed,89,97,100
673,male,group D,associate's degree,standard,completed,72,79,78
674,female,group C,some high school,standard,none,67,64,63
675,female,group E,some high school,standard,none,70,72,70
676,male,group C,high school,standard,completed,65,71,62
677,female,group C,associate's degree,free/reduced,none,51,65,63
678,male,group D,bachelor's degree,standard,none,100,91,87
679,male,group D,bachelor's degree,free/reduced,none,80,87,82
680,female,group D,associate's degree,free/reduced,none,60,55,62
681,female,group D,some college,standard,none,67,77,71
682,male,group E,some high school,standard,completed,96,80,76
683,female,group C,master's degree,standard,none,67,80,82
684,male,group C,some high school,standard,none,75,65,65
685,male,group C,associate's degree,standard,completed,78,82,82
686,female,group A,bachelor's degree,standard,none,52,52,52
687,male,group D,some college,free/reduced,none,73,70,70
688,male,group D,master's degree,standard,completed,81,66,71
689,female,group C,some college,standard,none,55,63,63
690,male,group B,some high school,standard,none,69,60,56
691,female,group E,associate's degree,free/reduced,none,55,71,65
692,male,group A,high school,free/reduced,none,41,33,30
693,female,group E,high school,standard,none,57,62,59
694,male,group D,master's degree,standard,completed,80,74,77
695,male,group B,associate's degree,standard,completed,93,88,91
696,male,group D,master's degree,standard,none,84,78,74
697,female,group B,high school,standard,completed,83,96,93
698,female,group B,bachelor's degree,free/reduced,completed,53,70,71
699,female,group C,some college,standard,none,50,62,57
700,female,group B,bachelor's degree,standard,none,74,82,79
701,female,group C,some high school,standard,completed,87,94,91
702,female,group C,some college,standard,none,63,69,66
703,female,group C,some college,standard,completed,64,66,76
704,female,group E,associate's degree,standard,completed,74,86,86
705,male,group D,bachelor's degree,free/reduced,none,52,42,52
706,male,group B,some college,standard,none,71,67,63
707,male,group A,bachelor's degree,free/reduced,completed,78,77,79
708,female,group D,some college,free/reduced,none,66,64,62
709,female,group E,associate's degree,standard,none,100,100,100
710,male,group E,master's degree,free/reduced,completed,68,68,68
711,female,group E,associate's degree,standard,none,83,99,94
712,female,group E,some college,standard,none,71,72,66
713,female,group D,some high school,free/reduced,none,65,77,76
714,female,group C,associate's degree,standard,completed,65,80,76
715,male,group B,associate's degree,standard,none,54,52,45
716,male,group D,some college,free/reduced,none,70,64,65
717,female,group B,some college,standard,completed,86,86,82
718,male,group C,bachelor's degree,standard,completed,64,68,71
719,female,group E,master's degree,free/reduced,none,67,78,77
720,female,group D,bachelor's degree,free/reduced,none,63,66,68
721,male,group D,some college,free/reduced,completed,62,68,65
722,male,group D,some high school,free/reduced,none,46,43,40
723,male,group B,some college,standard,none,65,72,69
724,male,group C,bachelor's degree,standard,none,84,81,80
725,female,group B,high school,free/reduced,none,67,84,80
726,male,group C,some high school,free/reduced,none,62,56,56
727,male,group D,bachelor's degree,free/reduced,none,71,76,70
728,female,group E,some high school,standard,none,78,81,77
729,female,group D,high school,standard,none,74,85,87
730,female,group B,associate's degree,standard,none,75,74,76
731,male,group C,associate's degree,standard,none,54,58,48
732,female,group E,some college,standard,none,86,95,87
733,female,group C,bachelor's degree,free/reduced,completed,71,94,91
734,female,group C,associate's degree,standard,none,59,62,61
735,female,group C,high school,free/reduced,completed,56,79,74
736,male,group E,high school,free/reduced,none,64,64,59
737,female,group A,high school,standard,completed,67,84,80
738,female,group E,high school,free/reduced,none,84,82,80
739,male,group B,high school,standard,completed,79,68,74
740,female,group A,some high school,standard,none,68,75,73
741,male,group A,some college,standard,completed,76,79,76
742,male,group C,bachelor's degree,free/reduced,none,45,44,40
743,male,group D,associate's degree,standard,none,89,82,78
744,male,group B,bachelor's degree,standard,none,59,43,48
745,female,group B,high school,free/reduced,none,66,80,77
746,female,group E,bachelor's degree,free/reduced,none,64,81,75
747,female,group A,some college,standard,none,84,77,75
748,male,group C,some high school,standard,none,70,76,60
749,female,group A,high school,standard,none,69,76,73
750,male,group C,associate's degree,standard,completed,99,83,88
751,male,group D,some high school,free/reduced,completed,48,36,32
752,female,group C,some college,free/reduced,none,77,82,83
753,male,group B,master's degree,free/reduced,completed,90,97,91
754,female,group E,bachelor's degree,free/reduced,none,68,62,65
755,male,group A,some high school,standard,none,55,53,47
756,female,group B,associate's degree,standard,none,62,71,73
757,female,group B,some college,standard,completed,76,80,83
758,male,group D,master's degree,standard,none,93,86,82
759,male,group C,associate's degree,standard,completed,40,37,44
760,female,group B,associate's degree,standard,none,59,73,70
761,male,group C,some college,free/reduced,completed,67,75,74
762,male,group D,high school,standard,none,93,86,87
763,male,group B,some college,standard,completed,79,80,84
764,female,group B,high school,standard,completed,79,94,93
765,male,group D,some college,standard,none,72,66,64
766,male,group C,bachelor's degree,free/reduced,completed,63,57,66
767,female,group A,high school,free/reduced,completed,60,79,76
768,female,group C,some high school,standard,none,60,71,67
769,female,group C,some college,free/reduced,none,52,59,62
770,male,group E,master's degree,free/reduced,completed,68,48,52
771,male,group C,master's degree,standard,none,69,71,73
772,male,group C,some college,free/reduced,none,60,62,57
773,male,group A,some college,standard,none,77,72,68
774,female,group C,bachelor's degree,free/reduced,none,62,74,70
775,male,group D,bachelor's degree,standard,none,83,81,82
776,female,group B,bachelor's degree,standard,none,53,56,61
777,male,group C,bachelor's degree,free/reduced,none,59,52,50
778,male,group C,some college,standard,none,62,67,62
779,female,group C,associate's degree,free/reduced,completed,52,65,69
780,female,group C,bachelor's degree,free/reduced,none,54,58,65
781,male,group A,associate's degree,free/reduced,none,72,69,64
782,male,group E,master's degree,standard,completed,88,82,80
783,female,group D,some college,standard,none,79,85,93
784,female,group D,high school,standard,none,50,58,58
785,male,group C,associate's degree,standard,completed,74,70,67
786,female,group C,associate's degree,free/reduced,completed,55,55,61
787,female,group A,some college,standard,none,60,78,69
788,female,group C,bachelor's degree,standard,completed,68,86,86
789,male,group D,associate's degree,free/reduced,none,46,44,41
790,male,group E,high school,free/reduced,none,70,66,57
791,male,group D,high school,standard,completed,74,82,80
792,male,group C,associate's degree,free/reduced,completed,60,65,61
793,female,group C,some college,standard,none,74,91,86
794,female,group D,some college,free/reduced,none,34,50,47
795,male,group C,bachelor's degree,standard,none,50,56,55
796,male,group C,some college,standard,none,83,85,86
797,male,group B,associate's degree,standard,none,67,76,69
798,male,group E,master's degree,free/reduced,completed,96,95,89
799,female,group D,associate's degree,free/reduced,completed,49,61,63
800,female,group E,some high school,standard,none,91,92,90
801,female,group D,bachelor's degree,standard,completed,90,100,100
802,female,group D,associate's degree,free/reduced,none,72,80,85
803,female,group C,some college,free/reduced,none,45,54,53
804,female,group D,some college,standard,completed,41,57,57
805,male,group D,some college,standard,none,77,74,78
806,male,group E,bachelor's degree,free/reduced,completed,97,93,98
807,female,group B,associate's degree,free/reduced,none,67,74,76
808,female,group C,some high school,free/reduced,completed,65,73,76
809,female,group D,high school,free/reduced,none,32,39,38
810,female,group B,high school,standard,none,70,78,70
811,male,group C,associate's degree,standard,none,74,60,57
812,female,group D,master's degree,free/reduced,completed,54,68,72
813,female,group A,associate's degree,standard,completed,59,75,70
814,female,group D,associate's degree,standard,none,67,78,74
815,female,group A,some college,free/reduced,none,36,41,43
816,male,group A,some college,standard,none,60,55,58
817,male,group E,high school,standard,none,82,57,62
818,female,group B,some college,free/reduced,none,27,49,48
819,male,group E,some college,standard,none,85,65,66
820,male,group B,some high school,standard,none,72,77,68
821,male,group B,high school,free/reduced,none,69,62,63
822,male,group A,bachelor's degree,free/reduced,none,68,68,59
823,male,group C,some high school,free/reduced,none,58,65,58
824,female,group C,master's degree,free/reduced,none,42,46,47
825,female,group B,some college,standard,completed,58,69,71
826,male,group D,bachelor's degree,standard,none,78,70,74
827,male,group D,some college,standard,completed,72,76,71
828,female,group A,associate's degree,standard,none,55,60,56
829,female,group C,associate's degree,standard,completed,71,75,75
830,male,group B,bachelor's degree,free/reduced,none,73,75,74
831,male,group D,some college,standard,none,83,89,74
832,male,group C,some college,standard,completed,83,83,81
833,female,group B,high school,standard,none,65,73,70
834,female,group E,high school,standard,none,76,79,80
835,male,group D,high school,standard,none,57,60,53
836,male,group B,associate's degree,standard,none,71,76,71
837,female,group A,high school,standard,none,35,51,44
838,male,group B,some college,standard,none,56,60,49
839,male,group C,some high school,standard,none,60,64,58
840,male,group D,bachelor's degree,standard,none,58,51,46
841,male,group C,bachelor's degree,free/reduced,completed,37,36,36
842,male,group C,master's degree,standard,completed,79,87,84
843,female,group B,master's degree,standard,none,67,66,57
844,female,group C,some high school,standard,completed,56,67,67
845,female,group E,high school,free/reduced,none,66,67,65
846,male,group B,high school,standard,none,86,77,71
847,male,group C,some college,standard,none,63,58,59
848,female,group C,associate's degree,standard,completed,62,76,77
849,male,group A,high school,standard,completed,83,81,78
850,female,group B,some college,standard,completed,71,77,82
851,female,group D,associate's degree,standard,completed,56,71,74
852,female,group C,high school,standard,none,84,92,92
853,female,group B,bachelor's degree,standard,none,79,76,77
854,male,group D,high school,standard,none,69,62,63
855,male,group B,bachelor's degree,standard,completed,82,73,77
856,male,group B,some college,free/reduced,completed,68,65,69
857,female,group E,master's degree,standard,none,75,75,78
858,male,group B,high school,standard,none,53,45,43
859,female,group B,some college,standard,none,77,83,87
860,male,group B,associate's degree,standard,none,68,62,59
861,male,group D,high school,standard,none,58,56,49
862,male,group B,bachelor's degree,free/reduced,none,39,39,37
863,male,group E,some college,standard,completed,79,76,76
864,female,group D,bachelor's degree,free/reduced,completed,36,61,65
865,male,group B,associate's degree,standard,completed,46,54,54
866,male,group C,bachelor's degree,standard,none,65,66,61
867,male,group D,some college,standard,none,88,83,75
868,male,group C,some college,free/reduced,completed,66,68,66
869,male,group B,high school,free/reduced,none,61,54,54
870,female,group E,associate's degree,standard,none,100,94,99
871,male,group E,bachelor's degree,standard,completed,86,77,80
872,male,group C,some college,standard,none,81,74,67
873,male,group C,some high school,free/reduced,none,54,57,52
874,male,group D,bachelor's degree,standard,none,68,54,48
875,male,group E,master's degree,standard,completed,73,67,64
876,female,group C,associate's degree,standard,completed,88,100,100
877,male,group E,some college,standard,none,64,48,45
878,female,group B,associate's degree,standard,none,48,60,59
879,female,group C,associate's degree,standard,completed,76,80,80
880,female,group D,some college,free/reduced,none,54,58,59
881,male,group C,associate's degree,standard,none,69,63,52
882,male,group C,bachelor's degree,standard,completed,74,75,76
883,male,group D,some college,standard,completed,75,79,78
884,male,group B,some college,free/reduced,none,69,73,69
885,female,group B,bachelor's degree,standard,completed,56,76,76
886,female,group C,high school,standard,completed,56,64,74
887,female,group D,some high school,free/reduced,none,67,76,78
888,female,group C,high school,standard,completed,83,89,92
889,male,group D,high school,free/reduced,none,55,55,52
890,female,group E,associate's degree,standard,none,82,80,76
891,female,group D,associate's degree,free/reduced,none,54,65,62
892,female,group D,high school,free/reduced,none,22,38,35
893,male,group B,associate's degree,standard,none,63,53,53
894,male,group C,bachelor's degree,free/reduced,completed,84,74,79
895,female,group A,bachelor's degree,standard,none,44,71,65
896,male,group D,master's degree,standard,completed,84,83,82
897,female,group B,some college,free/reduced,none,69,73,73
898,male,group D,associate's degree,free/reduced,completed,45,53,53
899,female,group D,some college,standard,none,85,88,86
900,female,group A,associate's degree,standard,none,55,71,70
901,male,group C,some high school,standard,completed,89,91,84
902,male,group D,some high school,standard,none,61,46,52
903,female,group B,some high school,standard,completed,50,50,63
904,male,group E,some high school,free/reduced,completed,55,41,43
905,male,group E,some high school,standard,none,82,71,69
906,male,group C,high school,free/reduced,none,54,54,48
907,female,group C,high school,standard,none,64,72,62
908,female,group A,some college,free/reduced,completed,61,79,75
909,female,group B,associate's degree,standard,none,88,99,96
910,female,group C,associate's degree,free/reduced,none,38,64,56
911,female,group D,some college,standard,none,63,76,76
912,female,group B,associate's degree,free/reduced,none,40,50,51
913,female,group D,some college,standard,none,56,66,62
914,female,group C,high school,standard,none,40,51,54
915,male,group C,some college,standard,completed,63,57,64
916,male,group A,associate's degree,standard,none,83,78,78
917,female,group E,some high school,free/reduced,none,62,67,70
918,male,group A,some high school,standard,none,60,50,49
919,female,group D,some college,standard,none,55,57,57
920,female,group D,some high school,free/reduced,completed,33,50,57
921,female,group E,high school,free/reduced,none,76,64,66
922,male,group C,associate's degree,free/reduced,completed,78,93,89
923,female,group E,some high school,standard,completed,90,97,97
924,female,group C,some high school,free/reduced,completed,76,81,84
925,female,group C,bachelor's degree,standard,none,76,89,88
926,female,group B,some high school,standard,none,79,84,83
927,female,group D,some college,free/reduced,none,64,80,82
928,female,group C,associate's degree,free/reduced,none,55,64,60
929,female,group B,high school,standard,none,68,74,71
930,male,group D,some high school,standard,none,73,62,60
931,female,group C,bachelor's degree,standard,completed,92,100,100
932,male,group E,associate's degree,free/reduced,none,65,59,54
933,female,group C,some college,free/reduced,none,47,52,61
934,male,group B,high school,free/reduced,completed,62,63,64
935,female,group A,associate's degree,standard,none,66,78,73
936,male,group C,high school,standard,none,56,59,55
937,female,group E,associate's degree,free/reduced,none,67,82,75
938,male,group C,associate's degree,free/reduced,none,68,70,60
939,male,group B,some high school,standard,completed,75,85,84
940,male,group D,associate's degree,free/reduced,completed,46,43,48
941,male,group D,high school,standard,completed,100,87,95
942,male,group E,some college,free/reduced,completed,69,57,59
943,male,group C,some high school,standard,none,60,48,51
944,female,group C,high school,standard,none,45,52,43
945,female,group C,bachelor's degree,free/reduced,completed,53,62,69
946,female,group B,associate's degree,standard,completed,96,100,100
947,male,group B,some college,standard,completed,69,61,63
948,male,group E,some college,standard,none,78,81,78
949,female,group A,associate's degree,free/reduced,completed,47,62,61
950,male,group E,associate's degree,standard,none,90,76,74
951,male,group D,some high school,standard,none,81,80,79
952,female,group D,some college,standard,none,54,68,68
953,male,group C,some high school,free/reduced,none,77,70,66
954,male,group E,high school,standard,none,59,49,45
955,female,group E,some high school,standard,none,84,92,84
956,female,group E,some high school,standard,completed,92,100,100
957,male,group C,some college,standard,none,69,68,65
958,male,group D,associate's degree,free/reduced,none,65,61,64
959,male,group D,high school,free/reduced,none,54,41,41
960,female,group B,some college,standard,completed,76,89,91
961,male,group A,bachelor's degree,standard,none,81,75,71
962,female,group C,some college,standard,none,83,90,92
963,male,group E,some high school,standard,completed,65,63,67
964,female,group B,associate's degree,free/reduced,completed,65,77,79
965,female,group E,associate's degree,free/reduced,none,45,36,30
966,female,group B,bachelor's degree,standard,none,51,61,63
967,female,group B,some high school,standard,none,76,70,70
968,male,group C,some high school,standard,none,74,80,76
969,female,group C,master's degree,free/reduced,completed,58,79,78
970,male,group C,master's degree,standard,completed,76,69,75
971,female,group D,some college,standard,none,55,61,56
972,female,group C,high school,standard,none,60,59,55
973,male,group E,associate's degree,standard,none,100,89,85
974,female,group C,high school,standard,none,68,83,72
975,male,group E,bachelor's degree,free/reduced,none,79,68,73
976,female,group C,associate's degree,standard,completed,82,80,84
977,male,group D,some high school,standard,none,74,81,76
978,male,group B,associate's degree,standard,none,78,72,70
979,male,group E,bachelor's degree,free/reduced,none,63,52,45
980,female,group C,some college,free/reduced,completed,52,61,65
981,female,group A,some high school,free/reduced,completed,48,58,57
982,male,group A,some college,standard,none,87,76,73
983,female,group C,high school,free/reduced,none,38,51,43
984,female,group C,master's degree,standard,completed,92,100,100
985,female,group D,high school,standard,none,76,80,81
986,male,group C,some college,free/reduced,completed,51,49,47
987,female,group C,master's degree,standard,none,62,72,71
988,female,group C,associate's degree,standard,completed,59,67,73
989,female,group D,associate's degree,standard,completed,93,100,100
990,female,group E,some high school,standard,none,75,77,67
991,female,group A,bachelor's degree,free/reduced,none,59,67,70
992,female,group D,some college,standard,none,56,62,65
993,male,group E,high school,standard,completed,97,81,81
994,male,group C,some college,free/reduced,completed,71,90,85
995,male,group D,some college,standard,none,69,61,55
996,male,group A,master's degree,free/reduced,none,33,40,33
997,male,group E,some college,standard,none,79,74,77
998,female,group D,some college,free/reduced,completed,68,82,82
999,male,group B,associate's degree,free/reduced,completed,75,73,71
0,female,group B,associate's degree,standard,none,69,77,77
1,male,group B,some high school,standard,none,55,40,46
2,male,group A,some high school,free/reduced,none,51,50,46
3,female,group D,associate's degree,free/reduced,none,78,82,80
4,male,group E,associate's degree,free/reduced,none,68,67,70
5,female,group B,high school,standard,none,66,74,70
6,male,group A,bachelor's degree,free/reduced,none,59,54,56
7,male,group C,some high school,free/reduced,none,65,63,59
8,male,group D,bachelor's degree,standard,none,84,80,82
9,female,group E,master's degree,free/reduced,none,61,66,70
10,male,group D,master's degree,free/reduced,completed,76,68,73
11,male,group C,bachelor's degree,standard,completed,73,70,71
12,male,group B,high school,free/reduced,none,58,57,42
13,male,group C,bachelor's degree,standard,completed,93,79,84
14,male,group E,some high school,standard,none,89,77,74
15,female,group B,bachelor's degree,standard,none,74,78,77
16,female,group A,master's degree,standard,completed,83,88,99
17,female,group C,some college,standard,none,75,82,80
18,female,group C,some college,standard,completed,71,73,81
19,male,group D,high school,free/reduced,none,70,70,69
20,female,group D,master's degree,standard,completed,100,100,100
21,male,group E,some high school,free/reduced,none,45,43,34
22,male,group B,high school,standard,none,48,40,35
23,male,group C,bachelor's degree,standard,none,85,76,74
24,male,group A,some college,free/reduced,none,50,44,43
25,male,group D,bachelor's degree,standard,none,77,73,76
26,male,group C,some college,standard,none,61,61,55
27,male,group C,bachelor's degree,standard,none,55,51,50
28,female,group B,high school,free/reduced,completed,63,65,65
29,male,group E,associate's degree,standard,none,98,91,89
30,female,group C,some college,standard,none,59,71,71
31,male,group B,high school,free/reduced,completed,65,62,63
32,female,group A,high school,standard,none,70,68,63
33,male,group C,high school,standard,completed,40,45,43
34,female,group C,some college,standard,none,59,61,61
35,female,group D,associate's degree,standard,none,80,90,91
36,female,group B,some high school,standard,completed,66,65,73
37,male,group D,associate's degree,standard,none,82,77,76
38,male,group C,high school,free/reduced,none,72,72,69
39,female,group B,high school,standard,none,60,59,54
40,male,group C,high school,free/reduced,none,67,58,55
41,male,group A,master's degree,standard,none,69,65,61
42,male,group D,some college,free/reduced,completed,62,67,71
43,male,group E,master's degree,standard,none,62,59,53
44,male,group E,some high school,standard,none,47,43,32
45,male,group A,bachelor's degree,standard,none,72,72,70
46,male,group C,some high school,free/reduced,none,42,41,36
47,female,group E,some high school,standard,none,72,83,77
48,male,group B,high school,free/reduced,none,68,64,61
49,female,group D,some high school,standard,none,68,68,68
50,male,group C,master's degree,free/reduced,completed,85,86,90
51,male,group D,some high school,free/reduced,none,64,72,63
52,male,group B,some college,standard,completed,61,56,60
53,female,group A,some college,free/reduced,none,18,44,45
54,male,group B,some college,free/reduced,none,58,45,45
55,female,group B,associate's degree,standard,none,63,69,68
56,female,group D,high school,standard,completed,80,87,87
57,female,group E,some high school,free/reduced,none,83,92,84
58,male,group C,bachelor's degree,standard,none,68,62,58
59,male,group B,some high school,standard,none,79,79,70
60,female,group D,some college,free/reduced,none,41,73,67
61,male,group C,high school,standard,none,63,62,58
62,female,group C,associate's degree,standard,none,47,59,63
63,female,group E,high school,standard,completed,68,72,76
64,male,group C,some college,standard,completed,78,84,82
65,female,group C,some high school,standard,none,81,85,86
66,female,group A,high school,free/reduced,completed,51,64,59
67,male,group E,master's degree,standard,none,100,100,99
68,male,group D,some college,standard,completed,58,62,61
69,male,group D,high school,standard,none,67,53,50
70,male,group D,high school,standard,none,81,84,85
71,male,group D,some college,free/reduced,none,78,86,80
72,female,group A,high school,free/reduced,none,30,51,50
73,female,group E,high school,free/reduced,none,52,66,52
74,male,group B,some high school,standard,none,46,45,41
75,female,group C,high school,standard,none,62,73,69
76,male,group E,high school,standard,none,85,70,65
77,female,group C,some college,standard,completed,77,87,86
78,male,group D,some high school,standard,completed,73,80,81
79,male,group A,master's degree,standard,completed,88,82,79
80,female,group D,bachelor's degree,free/reduced,none,65,64,66
81,female,group C,bachelor's degree,free/reduced,completed,56,81,76
82,female,group B,bachelor's degree,free/reduced,none,50,61,62
83,male,group D,some college,standard,none,72,60,59
84,female,group C,associate's degree,free/reduced,completed,54,68,72
85,female,group B,some college,standard,none,79,75,74
86,male,group D,master's degree,standard,completed,70,72,77
87,male,group C,associate's degree,free/reduced,none,66,73,65
88,male,group D,some high school,standard,completed,86,80,80
89,male,group C,some college,free/reduced,none,59,68,58
90,female,group C,high school,standard,completed,70,83,81
91,male,group C,some high school,free/reduced,completed,61,64,65
92,male,group C,some high school,standard,completed,44,45,41
93,female,group A,some college,standard,none,60,65,58
94,female,group C,high school,standard,none,64,76,72
95,female,group C,some college,free/reduced,completed,63,78,76
96,female,group D,associate's degree,standard,none,67,79,78
97,female,group D,some high school,free/reduced,none,56,65,67
98,female,group D,associate's degree,standard,none,78,91,85
99,male,group C,some college,standard,none,77,72,64
100,male,group D,some college,standard,none,68,52,64
101,male,group B,bachelor's degree,standard,completed,90,94,95
102,female,group C,master's degree,standard,none,65,70,69
103,female,group C,some college,standard,completed,82,93,96
104,female,group B,bachelor's degree,standard,none,64,76,80
105,male,group C,bachelor's degree,free/reduced,completed,53,50,53
106,female,group D,associate's degree,standard,none,70,81,75
107,female,group D,some high school,standard,none,70,79,71
108,male,group E,high school,standard,none,73,63,62
109,male,group E,high school,free/reduced,completed,75,81,78
110,female,group C,associate's degree,standard,none,53,65,64
111,male,group E,some college,free/reduced,none,59,54,45
112,male,group D,associate's degree,standard,completed,81,73,79
